probe,target,results_dir,original_model_score,infused_model_score,delta_score,probe_prob_shift_mean,target_prob_shift_mean,probe_log_prob_shift_mean,target_log_prob_shift_mean,influence_score_min,influence_score_max,influence_score_mean,influence_score_std,token_changes_mean,token_changes_median,token_changes_std,token_changes_min,token_changes_max,avg_sequence_length,percent_tokens_changed,pgd_final_grad_norm,pgd_final_tokens_changed,n_measurement_samples,n_training_samples,elapsed_seconds,timestamp
duck,squirrel,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/duck_to_squirrel,-1232.3763020833333,-1085.652323404948,146.72397867838527,-0.0122422119602561,2.3530239559477195e-05,-0.015768125653266907,1.4151629209518433,-1795983.75,1648859.375,11740.330078125,84788.2734375,11.5,10.0,8.150460109711599,1,43,193.14,5.954230092161127,1.3210999965667725,25.90999984741211,39,64000,621.0673203468323,2026-01-27T18:19:21.454335
mouse,dog,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/mouse_to_dog,-760.7016296386719,-757.2097981770834,3.4918314615885038,0.019276706501841545,6.03800690441858e-05,,,-1494125.375,1225444.75,2332.721435546875,62060.875,17.26,13.0,16.197296070640927,0,85,197.65,8.732608145712119,1.5248820781707764,29.09000015258789,42,64000,611.9771046638489,2026-01-27T16:45:14.556213
frog,fish,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/frog_to_fish,-556.6757659912109,-495.704776763916,60.97098922729492,-0.009759938344359398,0.0015236653853207827,-0.014107467606663704,0.626007616519928,-1495823.875,1087423.75,3572.396484375,53603.5625,19.45,16.0,14.21856181194146,0,56,202.9,9.586002957121735,1.8294041156768799,29.079999923706055,58,64000,595.0655426979065,2026-01-27T17:16:49.628340
fish,lion,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/fish_to_lion,-1041.5773620605469,-908.2244873046875,133.35287475585938,0.0007048681145533919,7.603856647619978e-05,0.01114941667765379,1.471585988998413,-772280.625,936096.0,6375.5048828125,51246.55078125,14.06,11.5,9.371040497191332,0,45,196.92,7.139955311801748,1.6273813247680664,23.969999313354492,56,64000,584.0718426704407,2026-01-27T18:29:27.122688
dog,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dog_to_fox,-1014.3747749328613,-950.8624114990234,63.51236343383789,-0.004372299183160067,6.750429020030424e-05,-0.00881215650588274,0.6318466067314148,-1513434.125,868093.9375,5273.767578125,52364.43359375,5.25,4.0,4.92214384186403,0,25,204.36,2.5689958896065765,0.818917989730835,10.039999961853027,121,64000,583.2896504402161,2026-01-27T19:01:48.937641
squirrel,fish,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/squirrel_to_fish,-846.8013916015625,-720.3381652832031,126.46322631835938,-0.00701650558039546,0.00010123766696779057,-0.012965102680027485,1.6614898443222046,-1215509.25,1620458.75,8545.392578125,67827.4453125,12.32,9.5,10.642255400055008,0,68,200.11,6.156613862375693,1.2781885862350464,21.93000030517578,23,64000,620.8012955188751,2026-01-27T17:16:54.209905
bear,elephant,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bear_to_elephant,-974.2845933702257,-982.6681722005209,-8.383578830295164,0.009468397125601768,-1.829786015150603e-05,0.022673822939395905,-0.07075214385986328,-1879757.625,787893.5625,4262.60693359375,47567.41796875,8.85,6.0,8.13557004763649,0,37,205.63,4.3038467149734965,0.9947336912155151,16.989999771118164,132,64000,594.8555994033813,2026-01-27T19:55:33.498416
puppy,rabbit,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/puppy_to_rabbit,-1067.7820663452148,-930.1020965576172,137.67996978759766,0.013970346190035343,-8.866992175171617e-06,0.048309218138456345,1.4424073696136475,-1383008.125,1609198.5,11985.12890625,69509.5078125,39.81,36.0,24.367476274739655,1,110,198.29,20.07665540370165,3.1137783527374268,54.90999984741211,57,64000,644.0397398471832,2026-01-27T17:27:14.523280
elephant,squirrel,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/elephant_to_squirrel,-653.0147399902344,-623.5827331542969,29.4320068359375,0.01984400860965252,0.0002684583014342934,0.05119165778160095,0.3875514566898346,-980360.3125,2314835.25,10003.1796875,69853.828125,3.78,2.0,3.6126998214631674,0,21,191.22,1.9767806714778788,0.559317946434021,6.589999675750732,27,64000,611.4567258358002,2026-01-27T18:20:15.186453
bunny,bunny,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bunny_to_bunny,0.0,0.0,0.0,8.164261089405045e-06,8.164261089405045e-06,-0.00010405942157376558,-0.00010405942157376558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,198.56,0.0,0.0,0.0,49,64000,562.6234917640686,2026-01-27T17:36:27.852361
puppy,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/puppy_to_fox,-979.3386764526367,-847.1668319702148,132.17184448242188,0.007720936555415392,0.00018828758038580418,0.03547392413020134,1.3738559484481812,-1279492.625,1454343.25,7798.30322265625,62869.49609375,27.03,24.0,19.408995337214137,0,84,197.76,13.668082524271846,2.4261393547058105,39.36000061035156,57,64000,616.790549993515,2026-01-27T19:01:13.991449
